SampleID	X	Y	Size	Estimation.Type	fore_Green	back_Green	fore_Red	back_Red	Signal.to.Noise	Pvalue	FDR	Out.Index	Other.Spots	Cells
1772-062-248_A01	259	367	31	Fluorescence-based	48.39921	17.17328	219.07155	17.29096	3.58876998	6.16E-07	3.99E-06	confidence	0	1
1772-062-248_A02	256	334	49	Chip.Pattern-based	18.2753117	16.75678805	19.34483579	17.86312268	0.118383548	0.999999998	1	confidence	0	0
1772-062-248_A03	262	368	19	Fluorescence-based	26.18448	16.96603	86.50398	17.00592	2.28087703	7.13E-05	1.69E-04	confidence	X = 30, Y = 204 (Green) | X = 262, Y = 368 (Red)	1
1772-062-248_A04	261	369	152	Fluorescence-based	45.746	16.83239	18.41931	18.04464	1.39034246	5.16E-27	9.60E-25	confidence	0	1
1772-062-248_A05	261	335	141	Fluorescence-based	32.56343609	17.04534744	47.98146317	18.00398509	1.365933891	3.32711E-25	3.53624E-23	confidence	0	0
1772-062-248_A06	258	367	43	Fluorescence-based	33.96903	17.12875	84.36209	17.73959	2.18750593	5.75E-09	8.60E-08	confidence	0	1
1772-062-248_A07	259	336	59	Fluorescence-based	23.99687	16.76427	104.27848	17.49655	2.5088823	1.21E-11	3.48E-10	confidence	0	1
1772-062-248_A08	261	370	49	Chip.Pattern-based	16.96014523	16.48601098	18.543643	17.2985128	0.094973016	0.999999999	1	confidence	0	0
1772-062-248_A09	258	335	51	Fluorescence-based	35.1490069	17.03836126	151.853158	17.68783186	3.031975255	2.63506E-10	5.44579E-09	confidence	0	0
1772-062-248_A10	257	336	49	Chip.Pattern-based	17.73740475	16.76694308	17.96013718	17.64355195	0.076725667	0.999999996	1	confidence	0	0
1772-062-248_A11	256	365	21	Fluorescence-based	27.57297	16.79935	77.52854	17.48489	2.08687071	3.19E-05	8.73E-05	confidence	0	1
1772-062-248_A12	259	336	72	Fluorescence-based	59.33639	17.15235	82.80962	17.67773	2.16579672	8.39E-14	2.84E-12	confidence	0	1
1772-062-248_B01	256	368	81	Fluorescence-based	36.51921	16.84559	95.26674	17.46956	2.38188778	2.71E-15	1.55E-13	confidence	0	1
1772-062-248_B02	256	336	78	Fluorescence-based	136.0652796	16.94635421	247.6531346	17.84359692	3.721988337	8.53218E-15	3.34319E-13	confidence	0	0
1772-062-248_B03	257	368	31	Fluorescence-based	156.19838	16.49284	365.97825	17.643	4.29898824	6.16E-07	3.99E-06	confidence	0	1
1772-062-248_B04	256	368	22	Fluorescence-based	24.45883446	17.42812799	32.8975861	18.06719657	0.830089799	4.14929E-05	0.000112667	confidence	0	0
1772-062-248_B05	259	334	43	Fluorescence-based	83.26818157	17.57444172	258.2366053	18.16504919	3.757719841	5.78001E-09	8.60065E-08	confidence	0	0
1772-062-248_B06	260	368	49	Chip.Pattern-based	18.61252963	17.33061568	18.38172704	17.79752996	0.097520384	0.999999998	1	confidence	0	0
1772-062-248_B07	274	336	49	Chip.Pattern-based	18.59336689	16.77800039	18.41181782	17.65147529	0.140272265	0.999999973	1	confidence	X = 353, Y = 271 (Green) | X = 479, Y = 19 (Red)	0
1772-062-248_B08	255	369	56	Fluorescence-based	55.27385	16.86962	95.34973	17.8404	2.35445115	3.84E-11	8.67E-10	confidence	0	1
1772-062-248_B09	254	338	49	Chip.Pattern-based	18.85657558	16.95388655	17.91938287	18.04717213	0.145320657	0.999999999	1	confidence	0	0
1772-062-248_B10	258	333	31	Fluorescence-based	140.4042763	17.29144875	234.2784399	17.81999494	3.644030977	6.15049E-07	3.98845E-06	confidence	0	0
1772-062-248_B11	257	365	42	Fluorescence-based	26.55739	16.89131	82.80821	17.73004	2.16173782	8.45E-09	1.16E-07	confidence	0	1
1772-062-248_B12	258	333	45	Fluorescence-based	44.89074	17.21947	119.32029	17.73083	2.68339297	2.66E-09	4.30E-08	confidence	0	1
1772-062-248_C01	257	367	33	Fluorescence-based	125.39179	16.88908	256.18453	17.67154	3.78389114	2.82E-07	2.23E-06	confidence	0	1
1772-062-248_C02	258	336	49	Chip.Pattern-based	18.74308874	16.99205727	18.73724405	17.81922705	0.133987553	0.999999974	1	confidence	X = 394, Y = 210 (Green) | X = 480, Y = 44 (Red)	0
1772-062-248_C03	256	365	49	Fluorescence-based	22.24359	16.47323	35.75975	17.65515	0.97855334	1.05E-05	3.79E-05	confidence	0	1
1772-062-248_C04	257	366	147	Fluorescence-based	31.08054	16.9589	103.09563	17.45471	2.49584853	3.58E-26	5.32E-24	confidence	0	1
1772-062-248_C05	256	338	25	Fluorescence-based	27.49053	16.90286	27.87306	17.98114	0.67029239	2.02E-02	3.06E-02	confidence	0	1
1772-062-248_C06	256	365	14	Fluorescence-based	207.32057	16.87694	429.7801	17.61421	4.53247571	6.10E-05	1.50E-04	confidence	0	1
1772-062-248_C07	256	338	185	Fluorescence-based	36.41641	16.90544	36.15316	17.83573	1.06327279	2.95E-32	1.10E-29	confidence	0	1
1772-062-248_C08	256	365	49	Chip.Pattern-based	18.55532781	16.84354128	18.45408369	17.34379137	0.132159755	0.999999996	1	confidence	0	0
1772-062-248_C09	256	335	36	Fluorescence-based	31.25378676	16.74622249	193.2654913	17.71277081	3.375934548	8.74694E-08	9.43148E-07	confidence	0	0
1772-062-248_C10	276	333	49	Chip.Pattern-based	18.84464852	16.7735745	19.20571431	17.78065871	0.159016155	0.999999989	1	confidence	0	0
1772-062-248_C11	259	365	49	Chip.Pattern-based	18.5913447	17.1662864	19.11205139	18.08754865	0.108952894	0.999999999	1	confidence	X = 419, Y = 359 (Green) | X = 487, Y = 149 (Red)	0
1772-062-248_C12	254	332	20	Fluorescence-based	63.79758	17.23888	182.48447	17.569	3.30468991	4.74E-05	1.19E-04	confidence	0	1
1772-062-248_D01	257	369	260	Fluorescence-based	19.13175	16.7409	44.78394	17.41419	1.31402332	1.02E-44	7.57E-42	confidence	0	1
1772-062-248_D02	256	334	26	Fluorescence-based	36.6189	16.42944	122.32408	17.71301	2.72034067	4.38E-06	1.91E-05	confidence	0	1
1772-062-248_D03	256	365	22	Fluorescence-based	60.36633	16.86614	117.62652	17.91175	2.64907154	2.14E-05	6.47E-05	confidence	0	1
1772-062-248_D04	254	364	26	Fluorescence-based	36.45359	16.73188	231.12607	17.65704	3.6371164	4.40E-06	1.91E-05	confidence	0	1
1772-062-248_D05	258	332	22	Fluorescence-based	131.81331	17.0486	132.18176	18.13018	2.87944064	2.14E-05	6.47E-05	confidence	0	1
1772-062-248_D06	257	364	255	Fluorescence-based	20.92175	17.98759	31.08523	17.92945	0.76127692	2.93E-25	3.54E-23	confidence	0	1
1772-062-248_D07	256	334	49	Chip.Pattern-based	16.91989383	15.58804446	17.13970579	16.75493314	0.111418271	0.999999999	1	confidence	0	0
1772-062-248_D08	254	367	49	Fluorescence-based	22.58467	15.94082	35.95889	16.76335	1.05701774	2.13E-05	6.47E-05	confidence	0	1
1772-062-248_D09	256	333	31	Fluorescence-based	107.94137	17.05913	311.41655	17.52854	4.07564958	6.15E-07	3.99E-06	confidence	0	1
1772-062-248_D10	253	328	14	Fluorescence-based	170.8875	16.92374	290.34107	17.84095	3.95076567	5.42E-04	9.81E-04	confidence	0	1
1772-062-248_D11	259	365	49	Chip.Pattern-based	19.01852419	15.76479634	19.0737604	16.69140865	0.255900663	0.999974427	1	confidence	0	0
1772-062-248_D12	257	330	49	Fluorescence-based	24.92622669	15.62581205	16.3879518	16.66524815	0.640987443	0.102859198	0.151239612	confidence	X = 257, Y = 330 (Green) | X = 448, Y = 106 (Red)	0
1772-062-248_E01	255	366	31	Fluorescence-based	54.74908206	15.97775901	181.2948957	16.78470635	3.357565108	6.1541E-07	3.98845E-06	confidence	0	0
1772-062-248_E02	255	336	106	Fluorescence-based	24.46223	15.76095	60.73849	16.80619	1.79379105	1.97E-19	1.47E-17	confidence	0	1
1772-062-248_E03	255	365	40	Fluorescence-based	19.61272	15.86389	49.71509	16.69403	1.51915217	1.81E-08	2.26E-07	confidence	0	1
1772-062-248_E04	258	365	49	Chip.Pattern-based	17.63844136	16.60688028	18.51829521	17.4170154	0.083787767	0.999999999	1	confidence	0	0
1772-062-248_E05	256	331	44	Fluorescence-based	33.82896268	15.7572154	81.80537479	16.74830836	2.222042891	3.88399E-09	6.14828E-08	confidence	0	0
1772-062-248_E06	255	364	34	Fluorescence-based	30.11503	15.88952	98.40518	16.61948	2.49614995	1.90E-07	1.75E-06	confidence	0	1
